tag id,prediction,confidence,actual,correct
122921384,Neutral,0.73,neutral,True
122921383,Positive,0.883,positive,True
122921383,Positive,0.714,positive,True
122921385,Negative,0.933,negative,True
122921383,Positive,0.856,negative,False
122921384,Neutral,0.744,negative,False
122921384,Neutral,0.637,neutral,True
122921385,Negative,0.923,negative,True
122921385,Negative,1.0,negative,True
122921383,Positive,0.78,neutral,False
122921384,Neutral,0.787,neutral,True
122921385,Negative,0.584,negative,True
122921383,Positive,0.73,positive,True
122921385,Negative,0.867,negative,True
122921384,Neutral,0.757,neutral,True
122921385,Negative,0.773,neutral,False
122921385,Negative,0.868,negative,True
122921385,Negative,0.555,negative,True
122921385,Negative,0.921,negative,True
122921384,Neutral,0.891,neutral,True
122921383,Positive,0.947,positive,True
122921383,Positive,0.78,positive,True
122921384,Neutral,0.649,neutral,True
122921385,Negative,0.998,negative,True
122921385,Negative,0.599,neutral,False
122921385,Negative,0.753,negative,True
122921384,Neutral,0.719,negative,False
122921384,Neutral,0.683,neutral,True
122921383,Positive,0.633,negative,False
122921385,Negative,0.992,negative,True
122921384,Neutral,0.815,neutral,True
122921385,Negative,0.689,negative,True
122921384,Neutral,0.776,positive,False
122921383,Positive,0.974,positive,True
122921385,Negative,0.96,negative,True
122921385,Negative,0.68,negative,True
122921384,Neutral,0.734,neutral,True
122921385,Negative,0.768,neutral,False
122921385,Negative,0.953,negative,True
122921384,Neutral,0.646,neutral,True
122921385,Negative,0.603,negative,True
122921385,Negative,0.994,negative,True
122921383,Positive,0.51,positive,True
122921385,Negative,0.887,negative,True
122921383,Positive,0.878,positive,True
122921385,Negative,0.964,negative,True
122921385,Negative,0.62,negative,True
122921383,Positive,0.767,positive,True
122921385,Negative,0.974,negative,True
122921385,Negative,0.703,negative,True
122921383,Positive,0.981,positive,True
122921385,Negative,0.574,negative,True
122921385,Negative,0.961,negative,True
122921385,Negative,0.999,negative,True
122921385,Negative,0.792,neutral,False
122921383,Positive,0.908,positive,True
122921385,Negative,0.996,negative,True
122921385,Negative,0.718,negative,True
122921384,Neutral,0.497,negative,False
122921384,Neutral,0.655,negative,False
122921385,Negative,0.988,negative,True
122921385,Negative,0.568,negative,True
122921385,Negative,0.635,negative,True
122921385,Negative,0.883,negative,True
122921384,Neutral,0.949,neutral,True
122921385,Negative,0.984,negative,True
122921383,Positive,0.748,positive,True
122921385,Negative,0.829,negative,True
122921385,Negative,0.676,negative,True
122921383,Positive,0.641,positive,True
122921383,Positive,0.722,positive,True
122921383,Positive,0.467,negative,False
122921385,Negative,0.746,negative,True
122921385,Negative,0.784,negative,True
122921385,Negative,0.755,negative,True
122921384,Neutral,0.684,negative,False
122921385,Negative,0.998,negative,True
122921383,Positive,0.846,positive,True
122921384,Neutral,0.89,neutral,True
122921385,Negative,0.91,negative,True
122921384,Neutral,0.959,neutral,True
122921385,Negative,0.568,negative,True
122921384,Neutral,0.543,neutral,True
122921384,Neutral,0.436,negative,False
122921385,Negative,0.931,negative,True
122921385,Negative,0.931,negative,True
122921384,Neutral,0.635,neutral,True
122921383,Positive,0.958,positive,True
122921385,Negative,0.535,negative,True
122921383,Positive,0.493,positive,True
122921384,Neutral,0.876,neutral,True
122921385,Negative,0.99,negative,True
122921384,Neutral,0.79,neutral,True
122921385,Negative,0.857,negative,True
122921385,Negative,0.902,negative,True
122921385,Negative,0.554,negative,True
122921384,Neutral,0.76,neutral,True
122921385,Negative,0.766,negative,True
122921385,Negative,0.836,negative,True
122921385,Negative,0.723,negative,True
122921385,Negative,0.886,negative,True
122921384,Neutral,0.689,neutral,True
122921383,Positive,0.941,positive,True
122921385,Negative,0.737,negative,True
122921385,Negative,0.684,negative,True
122921384,Neutral,0.742,neutral,True
122921385,Negative,0.716,negative,True
122921384,Neutral,0.761,neutral,True
122921385,Negative,0.798,negative,True
122921383,Positive,0.952,positive,True
122921383,Positive,0.848,positive,True
122921384,Neutral,0.632,negative,False
122921385,Negative,0.97,negative,True
122921384,Neutral,0.633,positive,False
122921385,Negative,0.999,negative,True
122921385,Negative,0.504,negative,True
122921385,Negative,0.892,negative,True
122921384,Neutral,0.849,positive,False
122921385,Negative,0.523,negative,True
122921384,Neutral,0.769,neutral,True
122921385,Negative,0.939,negative,True
122921385,Negative,0.989,negative,True
122921385,Negative,0.885,negative,True
122921385,Negative,0.905,negative,True
122921384,Neutral,0.627,positive,False
122921385,Negative,0.516,negative,True
122921385,Negative,0.855,negative,True
122921384,Neutral,0.903,neutral,True
122921383,Positive,0.673,positive,True
122921384,Neutral,0.758,neutral,True
122921385,Negative,0.702,negative,True
122921385,Negative,0.679,negative,True
122921385,Negative,0.97,negative,True
122921385,Negative,0.576,negative,True
122921385,Negative,0.995,negative,True
122921384,Neutral,0.629,negative,False
122921384,Neutral,0.634,neutral,True
122921384,Neutral,0.911,neutral,True
122921385,Negative,0.49,negative,True
122921385,Negative,0.925,negative,True
122921384,Neutral,0.739,neutral,True
122921384,Neutral,0.748,positive,False
122921385,Negative,0.494,negative,True
122921385,Negative,0.92,negative,True
122921385,Negative,0.594,neutral,False
122921385,Negative,0.802,negative,True
122921383,Positive,0.794,positive,True
122921384,Neutral,0.563,neutral,True
122921384,Neutral,0.539,neutral,True
122921383,Positive,0.678,positive,True
122921383,Positive,0.664,neutral,False
122921383,Positive,0.65,positive,True
122921385,Negative,0.773,negative,True
122921385,Negative,0.504,negative,True
122921383,Positive,0.881,neutral,False
122921385,Negative,0.675,negative,True
122921384,Neutral,0.868,neutral,True
122921385,Negative,0.99,negative,True
122921385,Negative,0.628,negative,True
122921385,Negative,0.769,negative,True
122921385,Negative,0.959,negative,True
122921385,Negative,0.983,negative,True
122921384,Neutral,0.861,neutral,True
122921384,Neutral,0.509,negative,False
122921385,Negative,0.937,negative,True
122921385,Negative,0.924,negative,True
122921384,Neutral,0.677,neutral,True
122921385,Negative,0.539,negative,True
122921385,Negative,0.878,negative,True
122921384,Neutral,0.65,negative,False
122921385,Negative,0.738,negative,True
122921385,Negative,0.747,negative,True
122921385,Negative,0.785,negative,True
122921383,Positive,0.924,positive,True
122921384,Neutral,0.672,neutral,True
122921384,Neutral,0.512,negative,False
122921385,Negative,0.938,negative,True
122921384,Neutral,0.789,negative,False
122921384,Neutral,0.703,negative,False
122921385,Negative,0.889,negative,True
122921384,Neutral,0.801,positive,False
122921385,Negative,0.884,negative,True
122921385,Negative,0.929,negative,True
122921383,Positive,0.86,negative,False
122921385,Negative,0.992,negative,True
122921385,Negative,0.967,negative,True
122921384,Neutral,0.637,positive,False
122921383,Positive,0.78,negative,False
122921385,Negative,0.983,negative,True
122921383,Positive,0.797,negative,False
122921383,Positive,0.624,negative,False
122921385,Negative,0.843,negative,True
122921385,Negative,0.951,negative,True
122921384,Neutral,0.578,negative,False
122921384,Neutral,0.749,negative,False
122921385,Negative,0.782,positive,False
122921385,Negative,0.874,negative,True
122921384,Neutral,0.726,negative,False
122921385,Negative,0.623,negative,True
122921385,Negative,0.956,negative,True
122921385,Negative,0.494,neutral,False
122921383,Positive,0.524,neutral,False
122921384,Neutral,0.738,neutral,True
122921384,Neutral,0.731,neutral,True
122921385,Negative,0.946,negative,True
122921385,Negative,0.974,negative,True
122921385,Negative,0.931,negative,True
122921383,Positive,0.914,positive,True
122921384,Neutral,0.628,neutral,True
122921385,Negative,0.816,negative,True
122921385,Negative,0.927,negative,True
122921385,Negative,0.614,negative,True
122921385,Negative,0.767,negative,True
122921384,Neutral,0.44,positive,False
122921384,Neutral,0.536,negative,False
122921385,Negative,0.899,negative,True
122921384,Neutral,0.589,neutral,True
122921384,Neutral,0.59,negative,False
122921385,Negative,0.481,neutral,False
122921384,Neutral,0.753,neutral,True
122921385,Negative,0.942,negative,True
122921385,Negative,0.984,negative,True
122921385,Negative,0.64,negative,True
122921384,Neutral,0.829,negative,False
122921385,Negative,0.964,negative,True
122921385,Negative,0.907,negative,True
122921385,Negative,0.964,negative,True
122921385,Negative,0.835,negative,True
122921383,Positive,0.771,positive,True
122921384,Neutral,0.539,positive,False
122921383,Positive,0.573,negative,False
